phenotype	gene	correlation_coefficient	correlation_pvalue	correlation_tstatistic
diastolic_blood_pressure	ENSG00000145723	-0.0310976740915119	0.583619551081011	0.548678824418799
diastolic_blood_pressure	ENSG00000145725	0.0123398441380363	0.827858494383672	0.217632091957951
diastolic_blood_pressure	ENSG00000145730	-0.0121374502447392	0.830638958308891	0.214062034675064
diastolic_blood_pressure	ENSG00000177058	0.000794185569234307	0.988834478044595	0.0140056194842881
diastolic_blood_pressure	ENSG00000234936	0.0572332990688464	0.312813150736444	1.01097738542518
diastolic_blood_pressure	ENSG00000124302	0.00890773134406532	0.875271296285511	0.157095786042315
diastolic_blood_pressure	ENSG00000124299	0.0121841978081643	0.829996556914387	0.214886619845659
systolic_blood_pressure	ENSG00000145723	-0.0482213802721664	0.395211290387205	0.851383741929095
systolic_blood_pressure	ENSG00000145725	-0.0520892264461735	0.358362874822469	0.919852273601715
systolic_blood_pressure	ENSG00000145730	-0.0420800228633911	0.458195406708168	0.74274717938706
systolic_blood_pressure	ENSG00000177058	-0.0264701396035308	0.640848589068777	0.466969620588447
systolic_blood_pressure	ENSG00000234936	0.113781031940946	0.0442753369132299	2.01966636782242
systolic_blood_pressure	ENSG00000124302	0.0288946984987914	0.610569671327107	0.509776409884023
systolic_blood_pressure	ENSG00000124299	0.0283172689967285	0.617723514000609	0.499580817216094
HB1AC	ENSG00000145723	-0.0889952202899434	0.116111588473863	1.57570009912881
HB1AC	ENSG00000145725	-0.0973053578058647	0.0856689197725451	1.72418064758747
HB1AC	ENSG00000145730	-0.101491458650713	0.0729704258780051	1.79911124041394
HB1AC	ENSG00000177058	-0.0332710725111625	0.557584792775652	0.587066775669145
HB1AC	ENSG00000234936	0.139348166595085	0.0136057446927181	2.48164397083211
HB1AC	ENSG00000124302	-0.0486103760531272	0.391405492144083	0.858267949065392
HB1AC	ENSG00000124299	-0.0271699742582012	0.632044547158779	0.479324668280181
plasma_proinsulin	ENSG00000145723	-0.145076620559346	0.0101695941511739	2.58581085523421
plasma_proinsulin	ENSG00000145725	-0.0836339109067547	0.139862708768927	1.48008549335208
plasma_proinsulin	ENSG00000145730	-0.00041122871628191	0.994218363319839	0.00725209801715641
plasma_proinsulin	ENSG00000177058	-0.0361312765775619	0.524204316225457	0.637598321235164
plasma_proinsulin	ENSG00000234936	0.0846744847244261	0.134983224843094	1.49863289290441
plasma_proinsulin	ENSG00000124302	0.0574391326823939	0.311073181062517	1.0146252742987
plasma_proinsulin	ENSG00000124299	-0.0229816142769192	0.685467939195748	0.40539225130762
plasma_insulin	ENSG00000145723	-0.0969731812314077	0.0867483418218264	1.718238746511
plasma_insulin	ENSG00000145725	-0.0373633776619334	0.510145662019701	0.659370750920513
plasma_insulin	ENSG00000145730	0.0415115436497099	0.464295955035582	0.732695611915802
plasma_insulin	ENSG00000177058	0.0221743145414679	0.695958283170092	0.391144471106717
plasma_insulin	ENSG00000234936	0.206155000199522	0.000240486311905967	3.71539206981425
plasma_insulin	ENSG00000124302	0.0882273400162625	0.119305592401659	1.56199730855556
plasma_insulin	ENSG00000124299	0.0458517684052154	0.4188717129992	0.809456085153556
plasma_glucose	ENSG00000145723	0.0475145303579688	0.402183582428534	0.838875340238452
plasma_glucose	ENSG00000145725	0.0299507063926822	0.597582286476721	0.528423523389093
plasma_glucose	ENSG00000145730	0.0323759583238262	0.568238894131903	0.571255718476342
plasma_glucose	ENSG00000177058	0.0575906782602317	0.309796192376341	1.01731112570549
