phenotype	gene	transcript	correlation_coefficient	correlation_pvalue	correlation_tstatistic
diastolic_blood_pressure	ENSG00000145725	ENST00000509597.1	0.0302657355484097	0.593732215050019	0.533986685970343
diastolic_blood_pressure	ENSG00000145725	ENST00000321521.9	-0.00282945866859661	0.960235505230759	0.0498982468663088
diastolic_blood_pressure	ENSG00000145723	ENST00000507478.1	0.0151631623003405	0.789310730105173	0.2674360262487
diastolic_blood_pressure	ENSG00000145723	ENST00000512248.1	0.0064357682131244	0.90970869467738	0.113498359200816
diastolic_blood_pressure	ENSG00000145730	ENST00000504456.1	-0.0466103088355588	0.411208955491412	0.822876093382153
diastolic_blood_pressure	ENSG00000145730	ENST00000504691.1	0.0689097163135158	0.224097242222238	1.21813170459117
diastolic_blood_pressure	ENSG00000145730	ENST00000510006.1	0.00933670232662577	0.869317222187246	0.164661716271141
diastolic_blood_pressure	ENSG00000145730	ENST00000379799.3	-0.0505287420871463	0.372962803981415	0.89222379290807
diastolic_blood_pressure	ENSG00000145730	ENST00000455264.2	-0.0724153922794437	0.201351243772732	1.28042102285303
diastolic_blood_pressure	ENSG00000145730	ENST00000348126.2	-0.0575875835313178	0.309822235388921	1.01725627693341
diastolic_blood_pressure	ENSG00000145730	ENST00000346918.2	-0.0185282233724132	0.744035303992038	0.326804878297541
diastolic_blood_pressure	ENSG00000145730	ENST00000438793.3	-0.0578743942012309	0.307414755913981	1.02233963026838
diastolic_blood_pressure	ENSG00000177058	ENST00000416547.2	0.0612253140370802	0.280201881402687	1.08174956759064
diastolic_blood_pressure	ENSG00000177058	ENST00000318672.3	-0.0528437255342415	0.351433874705377	0.933213141243521
diastolic_blood_pressure	ENSG00000234936	ENST00000423354.1	-0.00191261933813971	0.973114514962522	0.0337294711135264
diastolic_blood_pressure	ENSG00000124299	ENST00000591968.1	0.0442467691421493	0.435358273047645	0.781065223303906
diastolic_blood_pressure	ENSG00000124299	ENST00000589598.1	0.107341985216337	0.0578332537617315	1.90399752652823
diastolic_blood_pressure	ENSG00000124299	ENST00000244137.7	-0.010544187995201	0.85259805157175	0.185959118458623
diastolic_blood_pressure	ENSG00000124299	ENST00000593085.1	-0.0742808776875575	0.189953604844665	1.31358651381129
systolic_blood_pressure	ENSG00000145725	ENST00000509597.1	-0.0208531376487073	0.713250897388445	0.367829072632419
systolic_blood_pressure	ENSG00000145725	ENST00000321521.9	-0.0391873089454372	0.489700155323711	0.691606956156895
systolic_blood_pressure	ENSG00000145723	ENST00000507478.1	0.114265600090147	0.0433732660795856	2.0283812237675
systolic_blood_pressure	ENSG00000145723	ENST00000512248.1	0.0343628345639289	0.544722512204891	0.606353286298047
systolic_blood_pressure	ENSG00000145730	ENST00000504456.1	-0.0745075774540259	0.188601425583965	1.31761782838981
systolic_blood_pressure	ENSG00000145730	ENST00000504691.1	0.122190308670003	0.0306781426920804	2.17111842953647
systolic_blood_pressure	ENSG00000145730	ENST00000510006.1	0.00262732365923298	0.963074162532327	0.0463335173258251
systolic_blood_pressure	ENSG00000145730	ENST00000379799.3	-0.090637713157759	0.10950436655506	1.60501985371908
systolic_blood_pressure	ENSG00000145730	ENST00000455264.2	-0.100150856950496	0.0768586625930083	1.77510435647884
systolic_blood_pressure	ENSG00000145730	ENST00000348126.2	-0.0944527398822884	0.0952988785884715	1.67317238493636
systolic_blood_pressure	ENSG00000145730	ENST00000346918.2	-0.062748811928788	0.268385083409794	1.10877235218394
systolic_blood_pressure	ENSG00000145730	ENST00000438793.3	-0.0325449467953355	0.566220107452786	0.574240579036124
systolic_blood_pressure	ENSG00000177058	ENST00000416547.2	0.0151595222831485	0.78936012125353	0.267371811706448
systolic_blood_pressure	ENSG00000177058	ENST00000318672.3	-0.0541000224046748	0.340085418905934	0.955463542975546
systolic_blood_pressure	ENSG00000234936	ENST00000423354.1	0.104556262444729	0.0646812514471004	1.85403177016014
systolic_blood_pressure	ENSG00000124299	ENST00000591968.1	0.052027419103734	0.358934251893681	0.918757843287951
systolic_blood_pressure	ENSG00000124299	ENST00000589598.1	0.128780792230744	0.0226821839774424	2.2901438413644
systolic_blood_pressure	ENSG00000124299	ENST00000244137.7	-0.036292216204798	0.522356789690875	0.640442114209692
systolic_blood_pressure	ENSG00000124299	ENST00000593085.1	-0.066503891816922	0.240729363740474	1.17541107222824
HB1AC	ENSG00000145725	ENST00000509597.1	-0.0656404494312637	0.246904465155749	1.16008384078944
HB1AC	ENSG00000145725	ENST00000321521.9	-0.102029749601916	0.071454948105589	1.80875348810498
HB1AC	ENSG00000145723	ENST00000507478.1	0.0935333580667747	0.098580183484995	1.65674164907341
HB1AC	ENSG00000145723	ENST00000512248.1	-0.00548275972665645	0.92303408657697	0.0966909742628372
HB1AC	ENSG00000145730	ENST00000504456.1	-0.143810895204021	0.0108544635389564	2.56277229980018
HB1AC	ENSG00000145730	ENST00000504691.1	0.0643903914509221	0.256038804613906	1.1378983049709
HB1AC	ENSG00000145730	ENST00000510006.1	-0.0347812360717746	0.539832409763123	0.61374512583504
HB1AC	ENSG00000145730	ENST00000379799.3	-0.111886160612889	0.0479555018755662	1.98560146489091
HB1AC	ENSG00000145730	ENST00000455264.2	-0.0774129327049261	0.171893190941751	1.36930105163185
HB1AC	ENSG00000145730	ENST00000348126.2	-0.135780150237897	0.01622888570978	2.4168918856967
HB1AC	ENSG00000145730	ENST00000346918.2	-0.108292978828478	0.0556374209458376	1.92106522500008
HB1AC	ENSG00000145730	ENST00000438793.3	-0.0072355846045498	0.898544624173651	0.127604264694611
HB1AC	ENSG00000177058	ENST00000416547.2	0.0168328206004107	0.766747084034725	0.296892088933852
HB1AC	ENSG00000177058	ENST00000318672.3	-0.0726502466348594	0.199889631285938	1.28459562512121
HB1AC	ENSG00000234936	ENST00000423354.1	0.125464640668416	0.0264464211396781	2.23021600039739
HB1AC	ENSG00000124299	ENST00000591968.1	0.0391369214646674	0.490259021404727	0.690716315114307
HB1AC	ENSG00000124299	ENST00000589598.1	0.0875278417850611	0.122274415186846	1.54951723605717
HB1AC	ENSG00000124299	ENST00000244137.7	-0.0622669188507631	0.272085401880548	1.10022402343349
HB1AC	ENSG00000124299	ENST00000593085.1	-0.113769561980473	0.0442968788345521	2.01946010072055
plasma_proinsulin	ENSG00000145725	ENST00000509597.1	-0.0820113186913911	0.147739391977723	1.45117378538112
plasma_proinsulin	ENSG00000145725	ENST00000321521.9	-0.0913556109993561	0.106711029379689	1.61783901234958
plasma_proinsulin	ENSG00000145723	ENST00000507478.1	-0.0276364733109032	0.626204513850816	0.487560744323974
plasma_proinsulin	ENSG00000145723	ENST00000512248.1	-0.0954655403154239	0.0917855574897271	1.69127765393671
plasma_proinsulin	ENSG00000145730	ENST00000504456.1	-0.069402251746165	0.220795542872991	1.22688034796598
plasma_proinsulin	ENSG00000145730	ENST00000504691.1	0.0281191424157129	0.620186512308084	0.496082639490744
plasma_proinsulin	ENSG00000145730	ENST00000510006.1	-0.022478667281099	0.691996480434654	0.396515805886157
plasma_proinsulin	ENSG00000145730	ENST00000379799.3	-0.0301438820461836	0.595220085627534	0.531834831916628
plasma_proinsulin	ENSG00000145730	ENST00000455264.2	-0.00938254769760808	0.868681322858924	0.165470314445601
plasma_proinsulin	ENSG00000145730	ENST00000348126.2	-0.00581752186043045	0.918350648748577	0.102594851590248
plasma_proinsulin	ENSG00000145730	ENST00000346918.2	-0.0228417802246556	0.687280746612253	0.402924307879371
plasma_proinsulin	ENSG00000145730	ENST00000438793.3	0.0434662028367416	0.443509042486714	0.76725997532557
plasma_proinsulin	ENSG00000177058	ENST00000416547.2	0.000803799588634324	0.988699322675167	0.0141751647255061
plasma_proinsulin	ENSG00000177058	ENST00000318672.3	-0.0278146215306715	0.623980417254353	0.490706048436403
plasma_proinsulin	ENSG00000234936	ENST00000423354.1	0.0340006296518769	0.548973422178379	0.599954521883138
plasma_proinsulin	ENSG00000124299	ENST00000591968.1	-0.0402311559915217	0.478199597632001	0.71005902812887
plasma_proinsulin	ENSG00000124299	ENST00000589598.1	0.0493246683627694	0.384475014479503	0.870910074980018
plasma_proinsulin	ENSG00000124299	ENST00000244137.7	0.00972975773590215	0.863868110263837	0.171594269098971
plasma_proinsulin	ENSG00000124299	ENST00000593085.1	-0.124053709168287	0.0282040588216971	2.20474150586393
plasma_insulin	ENSG00000145725	ENST00000509597.1	-0.00854498583800863	0.88031167033598	0.150697968488071
plasma_insulin	ENSG00000145725	ENST00000321521.9	-0.00847200335247141	0.88132635717956	0.14941076855894
plasma_insulin	ENSG00000145723	ENST00000507478.1	0.0488359767902099	0.389208472837922	0.862260670753457
plasma_insulin	ENSG00000145723	ENST00000512248.1	-0.01897974260282	0.73802297287668	0.334771709534961
plasma_insulin	ENSG00000145730	ENST00000504456.1	-0.03946512834802	0.486624895001194	0.696517742505086
plasma_insulin	ENSG00000145730	ENST00000504691.1	0.126666617085597	0.0250241927472947	2.25192863098169
plasma_insulin	ENSG00000145730	ENST00000510006.1	0.0219628807180965	0.698715423837329	0.387413069410893
plasma_insulin	ENSG00000145730	ENST00000379799.3	-0.0380867764027452	0.501983863064474	0.672155309920844
plasma_insulin	ENSG00000145730	ENST00000455264.2	0.0215571153784936	0.704017754519206	0.38025223420201
plasma_insulin	ENSG00000145730	ENST00000348126.2	0.0147576449736016	0.794818305636213	0.260282248613698
plasma_insulin	ENSG00000145730	ENST00000346918.2	0.0502608764671988	0.37550533036795	0.88748187856703
plasma_insulin	ENSG00000145730	ENST00000438793.3	-0.00291328232747112	0.959058483432593	0.0513765114753109
plasma_insulin	ENSG00000177058	ENST00000416547.2	0.0405745533634776	0.474448595366206	0.716129765490755
plasma_insulin	ENSG00000177058	ENST00000318672.3	0.00599426383309696	0.915879093842351	0.105711893320696
plasma_insulin	ENSG00000234936	ENST00000423354.1	0.147574610483338	0.00892935960565235	2.63131708862862
plasma_insulin	ENSG00000124299	ENST00000591968.1	0.0547205293464163	0.334567448799285	0.96645507677118
plasma_insulin	ENSG00000124299	ENST00000589598.1	0.0639346280283019	0.259426526967973	1.12981093925128
plasma_insulin	ENSG00000124299	ENST00000244137.7	0.0411885619049904	0.467781926578276	0.726985127083257
plasma_insulin	ENSG00000124299	ENST00000593085.1	-0.118844716622701	0.0355866664168458	2.11080902050969
plasma_glucose	ENSG00000145725	ENST00000509597.1	0.0769451810299898	0.174506032335855	1.36097790504658
plasma_glucose	ENSG00000145725	ENST00000321521.9	0.0494696585708983	0.383077410829014	0.873476392454867
plasma_glucose	ENSG00000145723	ENST00000507478.1	-0.0304207535761885	0.591841846976621	0.536724238553574
plasma_glucose	ENSG00000145723	ENST00000512248.1	0.0940625957248176	0.0966805241331847	1.6661993969992
plasma_glucose	ENSG00000145730	ENST00000504456.1	0.0147784361056731	0.794535678514303	0.260649024202892
plasma_glucose	ENSG00000145730	ENST00000504691.1	0.0578315276593981	0.307773790760062	1.02157985937225
plasma_glucose	ENSG00000145730	ENST00000510006.1	0.07532964485964	0.183757358639314	1.33223806403179
plasma_glucose	ENSG00000145730	ENST00000379799.3	0.0235866917499262	0.677644585090135	0.416071592821306
plasma_glucose	ENSG00000145730	ENST00000455264.2	0.078984805821789	0.163326171376062	1.39727756941677
plasma_glucose	ENSG00000145730	ENST00000348126.2	0.0401304689316344	0.479302474081855	0.708279083650603
plasma_glucose	ENSG00000145730	ENST00000346918.2	0.0711795750414784	0.209170244974127	1.25845753455899
plasma_glucose	ENSG00000145730	ENST00000438793.3	0.0292145754852892	0.606622489547178	0.515424652680555
plasma_glucose	ENSG00000177058	ENST00000416547.2	0.0365229950271003	0.519713358909262	0.644520048447687
plasma_glucose	ENSG00000177058	ENST00000318672.3	0.0323956027316073	0.568004040302385	0.571602697124876
plasma_glucose	ENSG00000234936	ENST00000423354.1	0.0309360155978463	0.585578335982478	0.545823826859196
plasma_glucose	ENSG00000124299	ENST00000591968.1	0.0520444891290539	0.358776391360041	0.919060103294513
plasma_glucose	ENSG00000124299	ENST00000589598.1	-0.00885783855829953	0.875964266144594	0.156215813033371
plasma_glucose	ENSG00000124299	ENST00000244137.7	0.0925237507406783	0.102286262173354	1.63870337159917
plasma_glucose	ENSG00000124299	ENST00000593085.1	-0.0107007465610699	0.850434953353057	0.188720526218778
HOMAIR	ENSG00000145725	ENST00000509597.1	0.00823999792307207	0.884553244749737	0.145318879665455
HOMAIR	ENSG00000145725	ENST00000321521.9	-0.00415045769165355	0.941698197100455	0.0731947490877369
HOMAIR	ENSG00000145723	ENST00000507478.1	0.0449490979225062	0.428098544854595	0.79348797140797
HOMAIR	ENSG00000145723	ENST00000512248.1	0.00640537826038017	0.910133250748389	0.112962393405101
HOMAIR	ENSG00000145730	ENST00000504456.1	-0.0366322893599772	0.518463859781383	0.646451349609355
HOMAIR	ENSG00000145730	ENST00000504691.1	0.137517060477615	0.0149012874713867	2.4484010601945
HOMAIR	ENSG00000145730	ENST00000510006.1	0.0325718599071485	0.565898911847247	0.574715952611712
HOMAIR	ENSG00000145730	ENST00000379799.3	-0.0321825121525247	0.570554056629962	0.567838919265959
HOMAIR	ENSG00000145730	ENST00000455264.2	0.0299015237095823	0.598184381266151	0.52755501086247
HOMAIR	ENSG00000145730	ENST00000348126.2	0.0154907916486427	0.784868623172766	0.273215869366246
HOMAIR	ENSG00000145730	ENST00000346918.2	0.0503666420294616	0.374500154790444	0.88935417959835
HOMAIR	ENSG00000145730	ENST00000438793.3	0.010854844351001	0.848306947812137	0.191438543929925
HOMAIR	ENSG00000177058	ENST00000416547.2	0.0512259319808972	0.366395126712559	0.904566765077105
HOMAIR	ENSG00000177058	ENST00000318672.3	0.00947997268113493	0.867330268424607	0.167188652007019
HOMAIR	ENSG00000234936	ENST00000423354.1	0.148644749629256	0.00844052605444097	2.65082765708675
HOMAIR	ENSG00000124299	ENST00000591968.1	0.061790703907304	0.275776113138446	1.09177717832339
HOMAIR	ENSG00000124299	ENST00000589598.1	0.0623041846670551	0.27179801456369	1.10088505623419
HOMAIR	ENSG00000124299	ENST00000244137.7	0.0481119369431685	0.396286044796446	0.849446951598503
HOMAIR	ENSG00000124299	ENST00000593085.1	-0.101051114444622	0.0742295223221372	1.79122467168632
serum_HDL_cholesterol	ENSG00000145725	ENST00000509597.1	-0.0251423611198279	0.657690406409983	0.443530576406423
serum_HDL_cholesterol	ENSG00000145725	ENST00000321521.9	-0.0319396676709588	0.573466733019019	0.563549698432023
serum_HDL_cholesterol	ENSG00000145723	ENST00000507478.1	-0.0260593044194093	0.646040594336575	0.459716959624807
serum_HDL_cholesterol	ENSG00000145723	ENST00000512248.1	-0.0102737184677963	0.856337597088332	0.18118856105768
serum_HDL_cholesterol	ENSG00000145730	ENST00000504456.1	-0.0172751058945909	0.76080204049174	0.304695279190605
serum_HDL_cholesterol	ENSG00000145730	ENST00000504691.1	-0.119138473286029	0.0351305004237577	2.11610148084605
serum_HDL_cholesterol	ENSG00000145730	ENST00000510006.1	-0.0677352791980096	0.232111395656315	1.19727440568237
serum_HDL_cholesterol	ENSG00000145730	ENST00000379799.3	0.0207941750681966	0.714026154461412	0.366788579496766
serum_HDL_cholesterol	ENSG00000145730	ENST00000455264.2	0.0600134258844334	0.289849347134774	1.06025933662135
serum_HDL_cholesterol	ENSG00000145730	ENST00000348126.2	0.0228631829499076	0.687003165557726	0.403302044913563
serum_HDL_cholesterol	ENSG00000145730	ENST00000346918.2	0.0151635191478864	0.789305888110177	0.267442321494765
serum_HDL_cholesterol	ENSG00000145730	ENST00000438793.3	0.00552658952775736	0.922420737914719	0.0974639563580833
serum_HDL_cholesterol	ENSG00000177058	ENST00000416547.2	-0.0977356488268121	0.0842867597010161	1.73187846329217
serum_HDL_cholesterol	ENSG00000177058	ENST00000318672.3	0.0202716044892508	0.720909825509743	0.357567115608845
serum_HDL_cholesterol	ENSG00000234936	ENST00000423354.1	-0.0590747980777082	0.297472672864401	1.04361802891468
serum_HDL_cholesterol	ENSG00000124299	ENST00000591968.1	-0.00847146185013112	0.881333886497461	0.149401218033006
serum_HDL_cholesterol	ENSG00000124299	ENST00000589598.1	-0.0332062896564145	0.558352612289716	0.585922421664429
serum_HDL_cholesterol	ENSG00000124299	ENST00000244137.7	-0.0205915254321936	0.716692886896912	0.363212517594028
serum_HDL_cholesterol	ENSG00000124299	ENST00000593085.1	0.0766787511908607	0.176007429059214	1.35623747216871
serum_LDL_cholesterol	ENSG00000145725	ENST00000509597.1	0.0342123044073899	0.546487186938005	0.603693969855486
serum_LDL_cholesterol	ENSG00000145725	ENST00000321521.9	0.0596911011189427	0.292452303038042	1.05454439601872
serum_LDL_cholesterol	ENSG00000145723	ENST00000507478.1	0.0966362734192821	0.0878542733211948	1.71221280616231
serum_LDL_cholesterol	ENSG00000145723	ENST00000512248.1	0.0382014531889202	0.50069635786474	0.674182078809655
serum_LDL_cholesterol	ENSG00000145730	ENST00000504456.1	-0.0500221653814816	0.377780082425205	0.883256236720573
serum_LDL_cholesterol	ENSG00000145730	ENST00000504691.1	0.0918847106296746	0.10468851324497	1.62728851859657
serum_LDL_cholesterol	ENSG00000145730	ENST00000510006.1	0.0305876536018907	0.589809664101286	0.539671665519215
serum_LDL_cholesterol	ENSG00000145730	ENST00000379799.3	-0.0612648485321061	0.279890859945195	1.08245070722311
serum_LDL_cholesterol	ENSG00000145730	ENST00000455264.2	-0.0245743009038528	0.66494960407849	0.433503432200802
