ENSEMBL	SYMBOL
ENSG00000234936.1	AC010883.1
ENSG00000175749.11	EIF3KP1
ENSG00000145723.17	GIN1
ENSG00000145730.21	PAM
ENSG00000145730.21	PAM
ENSG00000145730.21	PAM
ENSG00000145730.21	PAM
ENSG00000145730.21	PAM
ENSG00000145730.21	PAM
ENSG00000234936.1	AC010883.1
ENSG00000234936.1	AC010883.1
ENSG00000145730.21	PAM
ENSG00000234936.1	AC010883.1
ENSG00000124302.13	CHST8
ENSG00000124299.15	PEPD
ENSG00000234936.1	AC010883.1
ENSG00000234936.1	AC010883.1
ENSG00000145725.20	PPIP5K2
ENSG00000177058.12	SLC38A9
ENSG00000279873.2	LINC01126
ENSG00000175749.11	EIF3KP1
