SIGNAL	Adipose	Islets	Liver	SkeletalMuscle	unclassified
1_154691445_155390931_1	0.4366	0	0.3097	0.2536	0
1_172022775_172522249_1	0.4895	0.0695	0.3279	0.1057	0
1_203407300_203607047_1	0.4708	0.2443	0	0.2755	0
1_204912567_205311998_1	0.3103	0.1872	0.2619	0.2172	0
1_204912567_205311998_2	0.006	0.0042	0.0021	0.0031	0
1_219168558_220068449_1	0.9918	0	0	0	0
1_26287563_26587038_1	0.1552	0.3634	0.463	0	0
1_26287563_26587038_2	0.002	0.0028	0	0.004	0
1_50810014_51609377_1	0.2864	0.2884	0.2971	0.0809	3e-04
1_50810014_51609377_2	0	0.0262	0	0	0
1_50810014_51609377_3	0.0039	0.0019	0.0019	0.0019	0
1_50810014_51609377_4	2e-04	1e-04	1e-04	1e-04	0
1_50810014_51609377_5	1e-04	6e-04	0	0	0
10_114462335_114961067_1	0.3192	0.2445	0.2184	0.2179	0
10_80662491_81062108_1	0.0244	0.281	0.4191	0.2704	0
10_89503717_89803264_1	0	0.1145	0	0.3303	0.5472
10_93591927_94591607_1	0.1476	0.2157	0.2753	0.3603	0
11_16994792_17494075_1	0.1915	0.2219	0.3341	0.2448	0
11_26027845_26327725_1	0.2466	0.1415	0.1802	0	0.4222
11_63743106_64542901_1	0.2542	0.2715	0.3593	0.1149	0
11_65072208_65871886_1	0.0633	0.1545	0.2605	0.5126	0
12_108446031_108645949_1	0.2063	0.0311	0.4163	0.3463	0
12_122109042_124908813_1	0.3567	0.1827	0.253	0.2072	0
12_26153650_26553475_1	0.6263	0.105	0	0.2686	0
12_71304551_71603881_1	0	0.24	0.3207	0.2603	0.1695
13_30921591_31121405_1	0.3789	0.174	0.241	0.1964	0
13_50338486_51338145_1	0.6894	0	0	0.2957	0.0067
14_91214226_91613640_1	0	0	0	0	1
15_40287790_40487683_1	0.2454	0.2219	0.2535	0.2695	0
15_41701139_42301066_1	0.2795	0.2084	0.2544	0.248	0
15_63700131_64199812_1	0.326	0.2798	0.1431	0.1934	0
15_63700131_64199812_2	0.0074	0.0051	0.0082	0.0053	0
15_63700131_64199812_3	0.0081	0.0067	0.0035	0.0038	0
15_75600366_76000140_1	0.3797	0.2389	0.1912	0.1785	0
15_75600366_76000140_2	9e-04	7e-04	3e-04	4e-04	0
16_4196742_4696689_1	0.2723	0.2035	0.2822	0.2351	0
16_53328787_53627919_1	0.3712	0.2754	0.1562	0.1879	0
16_81361075_81560629_1	0.1362	0.1022	0.3413	0.4203	0
17_17248281_18347763_1	0.3327	0.2478	0.1448	0.2583	0
17_17248281_18347763_2	0.0041	0	0	0.0028	0
17_3728315_4328063_1	0.2662	0.4162	0.1766	0.1284	0
17_3728315_4328063_2	4e-04	3e-04	7e-04	4e-04	0
17_3728315_4328063_3	3e-04	3e-04	2e-04	3e-04	0
17_65267115_65466619_1	0.3254	0.171	0.2697	0.2313	0
17_7093302_7593110_1	0.1639	0.1186	0.31	0.4002	0
18_60746163_60945600_1	0.3302	0	0.4481	0.2217	0
19_19229947_19929666_1	0.2305	0.2029	0.3841	0.1776	0
19_33674766_34074549_1	0.4633	0	0.338	0.1987	0
19_45287674_45487420_1	0.4	0.1518	0.1674	0.2742	0
19_8329334_8529246_1	0.4333	0.1259	0.2028	0.238	0
2_111498050_112296552_1	0.4669	0.039	0.054	0.3952	0
2_111498050_112296552_2	0.0315	0	0	0.0135	0
2_165355169_165854983_1	0.371	0.2198	0.3043	0.105	0
2_172198733_172498255_1	0.435	0.2843	0.0439	0.2278	0
2_219600065_219899797_1	0.1256	0.294	0.3746	0.1919	0
2_219600065_219899797_2	0	0.0058	0.0044	0.0038	0
2_24598739_25598423_1	0.3971	0.18	0.2319	0.1899	0
2_25630648_25829510_1	0	0.9597	0	0	0
2_25630648_25829510_2	0.0148	0.0056	0.0042	0.0064	0
2_43321390_44120947_1	0.3876	0.1613	0.2264	0.2151	0
20_45340230_45839939_1	0.3351	0.2218	0.2809	0.1533	0
20_62590891_62790549_1	0.1648	0.1525	0.4234	0.2562	0
3_11867871_12967751_1	0.4256	0.281	0	0.2931	0
3_128470671_129770296_1	0.2711	0.2257	0.3153	0.1872	0
3_137897905_138397435_1	0.3178	0.2098	0.2841	0.1795	0
3_149918700_150118281_1	0.3893	0	0.3357	0.275	0
3_185173879_185573440_1	0.0213	0.135	0.3144	0.4759	0
3_185173879_185573440_2	0	0.0114	0.0183	0.015	0
3_46797507_47597245_1	0.3253	0.2523	0.154	0.2538	0
3_46797507_47597245_2	8e-04	6e-04	6e-04	5e-04	0
3_46797507_47597245_3	6e-04	5e-04	2e-04	3e-04	0
3_46797507_47597245_4	3e-04	2e-04	1e-04	2e-04	0
3_64477535_64977349_1	0.6023	0.3977	0	0	0
4_123597171_124296888_1	0	0	0	0	0.9792
4_123597171_124296888_2	0.0051	0.0032	0.0016	0.0036	0
4_157515627_157814976_1	0.4049	0	0.2043	0.3812	0
4_89433246_89932671_1	0.3096	0.1973	0.2754	0.2113	0
5_101375152_102774930_1	0.4476	0.2289	0.0761	0.2445	0
5_127250623_127550268_1	0.6931	0	0.0063	0.2973	0
5_53171447_53471290_1	0.3768	0.1989	0.4151	0	0
5_55650935_56050465_1	0.4574	0.302	0.2407	0	0
5_76325023_76524346_1	0.4235	0.1722	0.2175	0.1868	0
6_125990932_128290412_1	0.3245	0	0.4474	0.2281	0
6_130212130_130511789_1	0.4221	0.1644	0.2206	0.1831	0
6_139706975_139906701_1	0.4482	0	0.2692	0.2823	0
6_160593700_160992192_1	0.3922	0.1449	0.2218	0.2338	0
6_163993124_164192544_1	0.5608	0	0.1741	0.2587	0
6_20330076_21229569_1	0.4106	0.1678	0.2323	0.1893	0
6_33866907_34966705_1	0.0102	0.0067	0.0067	0.0051	0.9618
6_43497516_43896807_1	0.2212	0.1557	0.1569	0.4661	0
7_130323357_130522932_1	0.1826	0	0.6819	0.1257	0
7_28038373_28338080_1	0.4501	0.1881	0.1479	0.212	0
7_46374708_46674496_1	0.1113	0.1602	0.3789	0	0.3408
7_92982725_93182642_1	0.0026	0	0.5709	0.0047	0.4124
8_12517355_12717076_1	0.1283	0	0.0702	0.058	0.7269
8_12517355_12717076_2	0.0041	0	0.0021	0.0017	0
8_19724981_20024524_1	0.3187	0.2943	0.3793	0	0
8_25274105_25973828_1	0.1141	0.2671	0.3403	0.2785	0
8_72253716_72553617_1	0	0.0123	0.9728	0.014	0
9_139135795_139435397_1	0.3249	0.243	0.2694	0.1591	0
