GENE	SPLICE	lead_snp	lead_snp_effect	nsnps	PPH0	PPH1	PPH2	PPH3	PPH4
LRP3	chr19:33685764:33687636:clu_28321	rs11673535	-0.0819085	1833	2.41794903005187e-53	0.839808872064929	3.43769517791807e-54	0.119358164864794	0.0408329630702821
LRP3	chr19:33697268:33697462:clu_28322	rs4330029	0.0426635	1814	2.41763660114751e-53	0.839199220904392	3.42179824896008e-54	0.118733865882325	0.0420669132132773
LRP3	chr19:33697268:33697507:clu_28322	rs4330029	-0.0426635	1814	2.41763642149261e-53	0.839199158543385	3.42179814888978e-54	0.11873386234283	0.0420669791137795
LRP3	chr19:33697639:33697894:clu_28323	rs11671925	0.162354	1815	2.36092622094988e-53	0.819514029726144	3.83936160360012e-54	0.133222920127211	0.0472630501466456
SLC7A10	chr19:33699927:33700214:clu_28325	rs6510369	0.0622056	1815	2.4148612690293e-53	0.838188532077539	3.31502410061792e-54	0.115016344127079	0.0467951237953847
SLC7A10	chr19:33700391:33701373:clu_28326	rs8106432	-0.0619218	1816	2.04893218260741e-53	0.711149158412392	3.75109487601025e-54	0.130035242889123	0.158815598698487
SLC7A10	chr19:33701522:33701708:clu_28326	rs61678011	0.562693	1814	2.36132221211216e-53	0.819508481385244	3.42460078297034e-54	0.118790752855654	0.0617007657591035
SLC7A10	chr19:33701804:33702131:clu_28326	rs34529542	-0.00890153	1816	2.333839900896e-53	0.809963473131217	4.45344255959798e-54	0.154522036847478	0.0355144900212986
SLC7A10	chr19:33702234:33702320:clu_28326	rs77123981	-0.0132839	1814	2.37667623247128e-53	0.824790142908524	3.13651223631403e-54	0.108781564558975	0.0664282925325031
SLC7A10	chr19:33702443:33703198:clu_28327	rs10404097	0.0903141	1818	2.30937381742291e-53	0.801415867719902	4.62203002018574e-54	0.160358856015153	0.0382252762649467
SLC7A10	chr19:33703908:33706675:clu_28328	rs10426085	-0.0831245	1826	2.26545687834989e-53	0.786119975444046	4.32621666380111e-54	0.150057124888584	0.0638228996673746
SLC7A10	chr19:33703908:33716459:clu_28328	rs12462575	-0.129644	1853	2.36836014294649e-53	0.821433778333557	4.1412005475606e-54	0.143596987364479	0.0349692343019636
