SIGNAL	Adipose	Islets	Liver	SkeletalMuscle	unclassified
1_154691445_155390931_1	0.2336	0	0.4352	0.3313	0
1_172022775_172522249_1	0.4334	0.1081	0.3379	0.1131	0
1_203407300_203607047_1	0.2294	0.3628	0	0.3983	0
1_204912567_205311998_1	0.2756	0.2203	0.232	0.2487	0
1_204912567_205311998_2	0.0047	0.0029	0.0032	0.0045	0
1_219168558_220068449_1	0.9918	0	0	0	0
1_26287563_26587038_1	0.1925	0.232	0.5572	0	0
1_26287563_26587038_2	0.0017	0.0028	0	0.0044	0
1_50810014_51609377_1	0.2064	0.3574	0.284	0.1051	3e-04
1_50810014_51609377_2	0	0.0262	0	0	0
1_50810014_51609377_3	0.0027	0.0022	0.0023	0.0024	0
1_50810014_51609377_4	1e-04	1e-04	1e-04	1e-04	0
1_50810014_51609377_5	1e-04	7e-04	0	0	0
10_114462335_114961067_1	0.2375	0.3021	0.2282	0.2323	0
10_80662491_81062108_1	0.0336	0.3756	0.302	0.2838	0
10_89503717_89803264_1	0	0.1159	0	0.329	0.5472
10_93591927_94591607_1	0.1676	0.235	0.2698	0.3266	0
11_16994792_17494075_1	0.2064	0.2444	0.2542	0.2873	0
11_26027845_26327725_1	0.2368	0.0974	0.234	0	0.4222
11_63743106_64542901_1	0.2669	0.3057	0.1557	0.2716	0
11_65072208_65871886_1	0.177	0.2798	0.3191	0.2149	0
12_108446031_108645949_1	0.2757	0.0664	0.3854	0.2724	0
12_122109042_124908813_1	0.1636	0.2992	0.3048	0.232	0
12_26153650_26553475_1	0.4511	0.1508	0	0.3981	0
12_71304551_71603881_1	0	0.2711	0.2657	0.2842	0.1695
13_30921591_31121405_1	0.2798	0.2279	0.2334	0.2491	0
13_50338486_51338145_1	0.5233	0	0	0.4617	0.0067
14_91214226_91613640_1	0	0	0	0	1
15_40287790_40487683_1	0.2986	0.2724	0.2302	0.1891	0
15_41701139_42301066_1	0.3129	0.2434	0.2068	0.2272	0
15_63700131_64199812_1	0.2489	0.2255	0.2226	0.2452	0
15_63700131_64199812_2	0.0074	0.0066	0.0052	0.0068	0
15_63700131_64199812_3	0.0064	0.0047	0.0052	0.0058	0
15_75600366_76000140_1	0.2764	0.2366	0.228	0.2474	0
15_75600366_76000140_2	6e-04	4e-04	5e-04	6e-04	0
16_4196742_4696689_1	0.3087	0.2164	0.2239	0.2441	0
16_53328787_53627919_1	0.2737	0.1926	0.2322	0.2923	0
16_81361075_81560629_1	0.3524	0.2501	0.2013	0.1963	0
17_17248281_18347763_1	0.3159	0.2269	0.2232	0.2176	0
17_17248281_18347763_2	0.0034	0	0	0.0034	0
17_3728315_4328063_1	0.2111	0.2934	0.277	0.2061	0
17_3728315_4328063_2	5e-04	4e-04	7e-04	4e-04	0
17_3728315_4328063_3	3e-04	3e-04	2e-04	2e-04	0
