GENE	lead_snp	lead_snp_effect	nsnps	PPH0	PPH1	PPH2	PPH3	PPH4
LRP3	rs56034367	-0.0217181	1810	1.03536643654229e-05	0.0126964363132483	0.000802168590826107	0.983676206084485	0.00281483534707532
CTD-2540B15.13	rs56034367	-0.0511781	1812	6.88820997402351e-05	0.336181330109255	0.00012770557986848	0.623230848529091	0.040391233682045
CTD-2540B15.6	rs62125162	0.349253	1806	8.76894698955749e-05	0.428269266832604	6.36829882573913e-05	0.31076246472701	0.260816895982233
SLC7A10	rs7251865	0.0948691	1800	4.3671269155778e-06	0.0213435823108241	0.000199933103904568	0.977137372162112	0.00131474529624379
CTD-2540B15.12	rs11673555	0.150444	1763	9.47427837970956e-05	0.681870774747498	2.5819755418868e-05	0.185694362155979	0.132314300557307
CTD-2540B15.11	rs8107837	0.0765123	1766	6.17937063057197e-05	0.444734674776414	4.61517114052525e-05	0.331934655306682	0.223222724499192
CTD-2540B15.7	rs10422861	0.114089	1767	8.09250217826557e-05	0.58242442718305	4.84535061983186e-05	0.348655311637325	0.0687908826516434
AC008738.1	rs7255274	0.0877604	1764	5.49828017197655e-05	0.395716019182573	6.2432417896071e-05	0.449176566506419	0.154989999091392
CEBPA	rs17530479	0.171045	1765	5.04842845791045e-05	0.363339799385725	6.10805340656179e-05	0.439404787302974	0.197143848492656
CEBPA-AS1	rs7256849	0.139894	1763	6.69203758518526e-09	4.81631781076734e-05	0.000138915438338261	0.999786498004928	2.64166865872679e-05
CTD-2540B15.9	rs62126613	0.0724374	1763	0.000108508384974452	0.780944337151381	2.25780484889517e-05	0.162439704851725	0.0564848715634308
CEBPG	rs75796363	-0.132276	1786	3.91549960849319e-08	0.000281801988155686	0.000138711088021542	0.998314768833625	0.00126467893520176
PEPD	rs116674320	-0.018471	1793	4.18132770400738e-28	3.00933850202048e-24	0.000138925665068398	0.999860288587052	7.85747881232577e-07
AC093609.1	rs7591954	0.0383572	1609	2.03442614034198e-22	0.779511054708599	4.04826286309954e-23	0.155047865398853	0.0654410798925474
ZFP36L2	rs150166947	0.0240162	1441	5.70461705749915e-23	0.816060922156766	8.74270581833293e-24	0.125007843631512	0.0589312342117212
AC010883.5	rs17030375	0.0906856	1440	2.1402150531085e-29	3.12506263959521e-07	1.0653190232216e-23	0.154708641437715	0.845291046056015
THADA	rs11693769	-0.0624391	1573	3.14887316671921e-23	0.673659728346907	1.2823690659219e-23	0.27429383885718	0.0520464327959145
PLEKHH2	rs10495907	0.383855	1747	1.07733213181003e-42	2.22953012510808e-20	4.83210394727363e-23	1	4.73851490184542e-21
AC011242.6	rs74776989	0.139111	1741	3.65645699065179e-23	0.735030907048666	9.63337049801078e-24	0.19358124017462	0.0713878527767163
