CHR	START	STOP	COORDINATES
1	26287563	26587038	1_26287563_26587038
1	50810014	51609377	1_50810014_51609377
1	150891901	151091181	1_150891901_151091181
1	154691445	155390931	1_154691445_155390931
1	172022775	172522249	1_172022775_172522249
1	203407300	203607047	1_203407300_203607047
1	204912567	205311998	1_204912567_205311998
1	214045645	214345351	1_214045645_214345351
1	219168558	220068449	1_219168558_220068449
1	227600254	228000231	1_227600254_228000231
2	24598739	25598423	2_24598739_25598423
2	25630648	25829510	2_25630648_25829510
2	43321390	44120947	2_43321390_44120947
2	111498050	112296552	2_111498050_112296552
2	158135230	158734557	2_158135230_158734557
2	165355169	165854983	2_165355169_165854983
2	172198733	172498255	2_172198733_172498255
2	219600065	219899797	2_219600065_219899797
2	226740956	227240815	2_226740956_227240815
3	11867871	12967751	3_11867871_12967751
3	46797507	47597245	3_46797507_47597245
3	48113624	50713088	3_48113624_50713088
3	64477535	64977349	3_64477535_64977349
3	66374987	66574934	3_66374987_66574934
3	113184156	113383362	3_113184156_113383362
3	122824513	123224070	3_122824513_123224070
3	128470671	129770296	3_128470671_129770296
3	137897905	138397435	3_137897905_138397435
3	149918700	150118281	3_149918700_150118281
3	185173879	185573440	3_185173879_185573440
3	187568510	187768432	3_187568510_187768432
4	596189	1095660	4_596189_1095660
4	1212454	1412389	4_1212454_1412389
4	1524500	1824072	4_1524500_1824072
4	89433246	89932671	4_89433246_89932671
4	123597171	124296888	4_123597171_124296888
4	157515627	157814976	4_157515627_157814976
5	53171447	53471290	5_53171447_53471290
5	55650935	56050465	5_55650935_56050465
5	76325023	76524346	5_76325023_76524346
5	101375152	102774930	5_101375152_102774930
5	118539329	118938880	5_118539329_118938880
5	127250623	127550268	5_127250623_127550268
5	157779335	158079197	5_157779335_158079197
6	6897301	7397081	6_6897301_7397081
6	20330076	21229569	6_20330076_21229569
6	25137304	33036631	6_25137304_33036631
6	33866907	34966705	6_33866907_34966705
6	43497516	43896807	6_43497516_43896807
6	125990932	128290412	6_125990932_128290412
6	130212130	130511789	6_130212130_130511789
6	139706975	139906701	6_139706975_139906701
6	160593700	160992192	6_160593700_160992192
6	163993124	164192544	6_163993124_164192544
7	28038373	28338080	7_28038373_28338080
7	46160178	46359891	7_46160178_46359891
7	46374708	46674496	7_46374708_46674496
7	92982725	93182642	7_92982725_93182642
7	130323357	130522932	7_130323357_130522932
8	8003984	11991621	8_8003984_11991621
8	12517355	12717076	8_12517355_12717076
8	19724981	20024524	8_19724981_20024524
8	72253716	72553617	8_72253716_72553617
9	21872024	22171981	9_21872024_22171981
9	139135795	139435397	9_139135795_139435397
10	77057896	77457007	10_77057896_77457007
10	80662491	81062108	10_80662491_81062108
10	89503717	89803264	10_89503717_89803264
10	93591927	94591607	10_93591927_94591607
10	114462335	114961067	10_114462335_114961067
10	122712516	123012298	10_122712516_123012298
11	1972878	2372618	11_1972878_2372618
11	14156679	14956391	11_14156679_14956391
11	16994792	17494075	11_16994792_17494075
11	26027845	26327725	11_26027845_26327725
11	32285253	32584773	11_32285253_32584773
11	63743106	64542901	11_63743106_64542901
11	65072208	65871886	11_65072208_65871886
11	68858056	69557805	11_68858056_69557805
12	12771180	12970792	12_12771180_12970792
12	26153650	26553475	12_26153650_26553475
12	27726951	28226726	12_27726951_28226726
12	66066372	66465385	12_66066372_66465385
12	71304551	71603881	12_71304551_71603881
12	108446031	108645949	12_108446031_108645949
12	122109042	124908813	12_122109042_124908813
13	30921591	31121405	13_30921591_31121405
13	50338486	51338145	13_50338486_51338145
13	80504152	80803578	13_80504152_80803578
14	60698999	61098683	14_60698999_61098683
14	91214226	91613640	14_91214226_91613640
15	40287790	40487683	15_40287790_40487683
15	41701139	42301066	15_41701139_42301066
15	62159229	62459031	15_62159229_62459031
15	63700131	64199812	15_63700131_64199812
15	75600366	76000140	15_75600366_76000140
16	194338	494156	16_194338_494156
16	4196742	4696689	16_4196742_4696689
16	53328787	53627919	16_53328787_53627919
16	81361075	81560629	16_81361075_81560629
17	3728315	4328063	17_3728315_4328063
17	7093302	7593110	17_7093302_7593110
17	17248281	18347763	17_17248281_18347763
17	29298413	29798283	17_29298413_29798283
17	40205430	41104900	17_40205430_41104900
17	65267115	65466619	17_65267115_65466619
18	52951091	53150381	18_52951091_53150381
18	60746163	60945600	18_60746163_60945600
19	7033935	7323129	19_7033935_7323129
19	8329334	8529246	19_8329334_8529246
19	12861842	13261586	19_12861842_13261586
19	19229947	19929666	19_19229947_19929666
19	33674766	34074549	19_33674766_34074549
19	45287674	45487420	19_45287674_45487420
19	46047639	46247475	19_46047639_46247475
20	45340230	45839939	20_45340230_45839939
20	48708115	48907991	20_48708115_48907991
20	51591870	51891748	20_51591870_51891748
20	62590891	62790549	20_62590891_62790549
22	29842085	30941525	22_29842085_30941525
8	25274105	25973828	8_25274105_25973828
